#Supplementary Data 2. All alternative splicing events for significantly differentially spliced genes between morphs of Pristionchus pacificus.																				
Gene ID	Splice type	Chromosome	Strand	Exon start	Exon end	Upstream exon start	Upstream exon end	Downstream exon start	Downstream exon end	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
UMA-S212-3.56-mRNA-1	SE	ChrIV	+	19418085	19418349	19417843	19418018	19418682	19418727	"278,309,345,295"	"28,37,60,63"	"242,266,245,295"	"20,35,39,24"	342	78	0.031799487	0.33103106	"0.694,0.656,0.567,0.516"	"0.734,0.634,0.589,0.737"	-0.065
UMA-S233-18.5-mRNA-1	A3SS	ChrIV	-	20112375	20112527	20112375	20112519	20112682	20112845	"49,54,48,52"	"2,6,3,0"	"39,52,62,45"	"1,2,2,0"	86	78	1.49E-25	2.97E-23	"0.957,0.891,0.936,1.0"	"0.973,0.959,0.966,1.0"	-0.028
UMA-S233-18.5-mRNA-1	A5SS	ChrIV	-	20119400	20119551	20119415	20119551	20119218	20119349	"9,8,5,9"	"2,1,3,0"	"3,7,5,6"	"2,3,3,1"	93	78	1.05E-17	1.17E-15	"0.791,0.87,0.583,1.0"	"0.557,0.662,0.583,0.834"	0.152
UMA-S233-18.5-mRNA-1	SE	ChrIV	-	20126216	20126954	20125447	20125504	20127127	20127223	"252,272,228,246"	"21,26,22,20"	"213,242,254,247"	"13,21,17,11"	816	78	5.71E-09	2.70E-07	"0.534,0.5,0.498,0.54"	"0.61,0.524,0.588,0.682"	-0.083
UMA-S233-18.5-mRNA-1	RI	ChrIV	-	20110137	20110357	20110137	20110199	20110245	20110357	"14,24,12,17"	"14,31,19,10"	"12,13,13,4"	"14,22,21,26"	124	78	7.62E-09	2.09E-07	"0.386,0.328,0.284,0.517"	"0.35,0.271,0.28,0.088"	0.132
UMA-S233-18.5-mRNA-1	A5SS	ChrIV	-	20119393	20119551	20119415	20119551	20119218	20119349	"56,58,54,43"	"2,1,3,0"	"37,43,38,29"	"2,3,3,1"	100	78	0.003241611	0.043884372	"0.956,0.978,0.934,1.0"	"0.935,0.918,0.908,0.958"	0.037
UMA-S233-18.5-mRNA-1	A3SS	ChrIV	-	20110245	20110373	20110245	20110357	20110423	20110461	"23,34,40,28"	"1,1,2,3"	"21,31,37,37"	"2,0,0,0"	94	78	0.011607343	0.180922979	"0.95,0.966,0.943,0.886"	"0.897,1.0,1.0,1.0"	-0.038
UMA-S233-18.5-mRNA-1	A3SS	ChrIV	-	20134987	20135091	20134987	20135087	20135180	20135304	"0,0,0,1"	"0,0,1,0"	"0,0,2,1"	"0,0,0,0"	82	78	0.012615534	0.193289485	"NA,NA,0.0,1.0"	"NA,NA,1.0,1.0"	-0.5
UMA-S233-18.5-mRNA-1	RI	ChrIV	-	20135817	20136064	20135817	20135944	20136000	20136064	"24,29,30,25"	"120,161,146,142"	"16,23,21,15"	"136,111,160,152"	134	78	0.03974536	0.197444082	"0.104,0.095,0.107,0.093"	"0.064,0.108,0.071,0.054"	0.026
UMA-S259-9.44-mRNA-1	A5SS	ChrI	+	9454966	9455198	9454966	9455095	9455291	9455391	"40,37,29,29"	"0,2,0,1"	"29,26,41,38"	"0,6,1,4"	181	78	2.81E-56	2.44E-53	"1.0,0.889,1.0,0.926"	"1.0,0.651,0.946,0.804"	0.104
UMA-S259-9.44-mRNA-1	A3SS	ChrI	+	9451341	9451458	9451350	9451458	9451252	9451274	"9,5,5,6"	"185,240,203,210"	"10,7,6,10"	"175,194,229,202"	87	78	0.005292315	0.093589564	"0.042,0.018,0.022,0.025"	"0.049,0.031,0.023,0.042"	-0.01
UMA-S259-9.44-mRNA-1	A3SS	ChrI	+	9454550	9454664	9454559	9454664	9454362	9454428	"33,24,30,18"	"11,6,4,2"	"22,27,18,16"	"7,7,8,7"	87	78	0.006428474	0.110147043	"0.729,0.782,0.871,0.89"	"0.738,0.776,0.669,0.672"	0.104
UMA-S397-2.74-mRNA-1	A3SS	ChrV	-	12316276	12316525	12316276	12316394	12316844	12316928	"13,14,14,11"	"0,1,0,2"	"8,8,16,12"	"2,1,2,1"	209	78	4.06E-07	2.02E-05	"1.0,0.839,1.0,0.672"	"0.599,0.749,0.749,0.817"	0.149
UMA-S41-17.5-mRNA-1	A3SS	ChrII	+	16764283	16764468	16764379	16764468	16763952	16764038	"13,18,10,9"	"8,8,4,1"	"14,10,6,5"	"9,11,7,10"	174	78	2.37E-47	1.54E-44	"0.421,0.502,0.528,0.801"	"0.411,0.29,0.278,0.183"	0.273
UMA-S41-17.5-mRNA-1	A3SS	ChrII	+	16764289	16764468	16764379	16764468	16763952	16764038	"27,34,16,17"	"8,8,4,1"	"28,22,15,13"	"9,11,7,10"	168	78	3.40E-40	1.50E-37	"0.61,0.664,0.65,0.888"	"0.591,0.481,0.499,0.376"	0.216
UMA-S41-2.77-mRNA-1	RI	ChrII	-	15187274	15187508	15187274	15187358	15187435	15187508	"36,31,17,21"	"8,9,14,6"	"4,4,8,14"	"5,5,2,8"	155	78	2.44E-11	9.05E-10	"0.694,0.634,0.379,0.638"	"0.287,0.287,0.668,0.468"	0.159
UMA-S421-1.51-mRNA-1	A3SS	ChrII	-	10862031	10862138	10862031	10862104	10862227	10862377	"16,11,12,13"	"2,1,3,3"	"14,12,8,9"	"2,3,6,3"	112	78	0.000130116	0.00346326	"0.848,0.885,0.736,0.751"	"0.83,0.736,0.481,0.676"	0.124
UMA-S421-1.51-mRNA-1	A3SS	ChrII	-	10862031	10862108	10862031	10862104	10862227	10862377	"66,85,69,102"	"2,1,3,3"	"71,61,58,79"	"2,3,6,3"	82	78	0.039083474	0.46158352	"0.969,0.988,0.956,0.97"	"0.971,0.951,0.902,0.962"	0.024
UMA-S421-2.93-mRNA-1	A3SS	ChrII	-	11009666	11009767	11009666	11009735	11009825	11009920	"9,8,19,14"	"27,25,16,14"	"4,8,8,16"	"27,26,20,26"	110	78	7.13E-05	0.002123267	"0.191,0.185,0.457,0.415"	"0.095,0.179,0.221,0.304"	0.112
UMA-S421-2.93-mRNA-1	A3SS	ChrII	-	11009666	11009735	11009666	11009716	11009825	11009920	"35,33,29,24"	"4,6,7,14"	"35,32,26,37"	"9,6,5,6"	97	78	0.015568662	0.226628531	"0.876,0.816,0.769,0.58"	"0.758,0.811,0.807,0.832"	-0.042
UMA-S442-2.63-mRNA-1	RI	ChrIII	-	11708305	11708536	11708305	11708410	11708476	11708536	"48,45,54,37"	"150,168,128,133"	"44,32,58,37"	"162,143,144,167"	144	78	1.98E-07	4.45E-06	"0.148,0.127,0.186,0.131"	"0.128,0.108,0.179,0.107"	0.018
UMA-S442-2.63-mRNA-1	A5SS	ChrIII	-	11713043	11713252	11713191	11713252	11712874	11712985	"26,23,19,35"	"1,1,2,7"	"32,35,42,36"	"0,0,3,1"	226	78	0.000888981	0.014085084	"0.9,0.888,0.766,0.633"	"1.0,1.0,0.829,0.926"	-0.142
UMA-S442-2.63-mRNA-1	A3SS	ChrIII	-	11712874	11713107	11712874	11712985	11713191	11713252	"3,6,7,6"	"1,1,2,7"	"6,8,8,8"	"0,0,3,1"	200	78	0.001769125	0.036435258	"0.539,0.701,0.577,0.251"	"1.0,1.0,0.51,0.757"	-0.3
UMA-S442-2.63-mRNA-1	A3SS	ChrIII	-	11712874	11713091	11712874	11712985	11713191	11713252	"4,6,8,7"	"1,1,2,7"	"6,6,9,9"	"0,0,3,1"	184	78	0.002999249	0.057658527	"0.629,0.718,0.629,0.298"	"1.0,1.0,0.56,0.792"	-0.27
UMA-S442-2.63-mRNA-1	SE	ChrIII	-	11713031	11713091	11712874	11712985	11713191	11713252	"64,67,61,73"	"1,1,2,7"	"78,81,89,60"	"0,0,3,1"	138	78	0.006277795	0.088927358	"0.973,0.974,0.945,0.855"	"1.0,1.0,0.944,0.971"	-0.042
UMA-S442-2.63-mRNA-1	SE	ChrIII	-	11713031	11713107	11712874	11712985	11713191	11713252	"82,78,76,85"	"1,1,2,7"	"95,100,101,71"	"0,0,3,1"	154	78	0.006819466	0.095374437	"0.976,0.975,0.951,0.86"	"1.0,1.0,0.945,0.973"	-0.039
UMA-S442-2.63-mRNA-1	RI	ChrIII	-	11709302	11709517	11709302	11709346	11709410	11709517	"8,10,5,7"	"229,188,198,177"	"10,16,13,11"	"206,209,182,173"	142	78	0.007155833	0.051161273	"0.019,0.028,0.014,0.021"	"0.026,0.04,0.038,0.034"	-0.014
UMA-S442-2.63-mRNA-1	SE	ChrIII	-	11713043	11713129	11712874	11712985	11713191	11713252	"96,94,71,107"	"1,1,2,7"	"107,110,127,108"	"0,0,3,1"	164	78	0.007318536	0.101071607	"0.979,0.978,0.944,0.879"	"1.0,1.0,0.953,0.981"	-0.038
UMA-S66-4.41-mRNA-1	A3SS	ChrIII	-	8840180	8840344	8840180	8840338	8840670	8840912	"10,15,16,8"	"11,15,13,9"	"14,14,11,12"	"5,9,11,6"	84	78	1.06E-17	1.35E-15	"0.458,0.481,0.533,0.452"	"0.722,0.591,0.481,0.65"	-0.13
UMA-S66-42.38-mRNA-1	SE	ChrIII	-	5042181	5042253	5041678	5041769	5042737	5042836	"3,12,3,6"	"4,12,11,16"	"3,6,2,2"	"13,18,17,16"	150	78	6.44E-47	2.66E-44	"0.281,0.342,0.124,0.163"	"0.107,0.148,0.058,0.061"	0.134
UMA-S66-42.38-mRNA-1	SE	ChrIII	-	5042002	5042071	5041678	5041769	5042737	5042836	"17,11,8,15"	"4,12,11,16"	"11,7,11,10"	"13,18,17,16"	147	78	0.000108474	0.002371925	"0.693,0.327,0.278,0.332"	"0.31,0.171,0.256,0.249"	0.161
UMA-S66-42.38-mRNA-1	SE	ChrIII	-	5042002	5042071	5041678	5041769	5042181	5042253	"8,8,5,12"	"0,6,1,4"	"6,6,9,8"	"0,4,2,2"	147	78	0.011215686	0.143503489	"1.0,0.414,0.726,0.614"	"1.0,0.443,0.705,0.68"	-0.019
UMA-S66-7.48-mRNA-1	A5SS	ChrIII	-	8526575	8526800	8526686	8526800	8526336	8526424	"2,2,7,7"	"11,13,11,23"	"4,4,8,6"	"11,15,10,10"	189	78	7.01E-10	3.87E-08	"0.07,0.06,0.208,0.112"	"0.13,0.099,0.248,0.198"	-0.056
UMA-S66-7.48-mRNA-1	SE	ChrIII	-	8526542	8526650	8526336	8526424	8526686	8526800	"86,80,72,80"	"11,13,11,23"	"105,94,134,120"	"11,15,10,10"	186	78	0.003502168	0.053755183	"0.766,0.721,0.733,0.593"	"0.8,0.724,0.849,0.834"	-0.099
UMA-S66-7.48-mRNA-1	RI	ChrIII	-	8511452	8511656	8511452	8511588	8511632	8511656	"1,2,1,2"	"7,9,10,6"	"5,2,7,6"	"7,12,13,8"	122	78	0.005175537	0.039255326	"0.084,0.124,0.06,0.176"	"0.314,0.096,0.256,0.324"	-0.137
UMA-S66-7.48-mRNA-1	SE	ChrIII	-	8517099	8517173	8516589	8516737	8517626	8517732	"36,38,46,42"	"60,44,46,47"	"33,33,28,22"	"40,38,57,42"	152	78	0.008692179	0.117004574	"0.235,0.307,0.339,0.314"	"0.297,0.308,0.201,0.212"	0.044
UMA-S66-7.48-mRNA-1	SE	ChrIII	-	8526575	8526650	8526336	8526424	8526686	8526800	"1,2,6,4"	"11,13,11,23"	"4,3,6,2"	"11,15,10,10"	153	78	0.013454932	0.167740177	"0.044,0.073,0.218,0.081"	"0.156,0.093,0.234,0.093"	-0.04
UMA-S66-7.48-mRNA-1	SE	ChrIII	-	8526504	8526650	8526336	8526424	8526686	8526800	"21,22,25,18"	"11,13,11,23"	"30,21,30,29"	"11,15,10,10"	224	78	0.048020479	0.456300728	"0.399,0.371,0.442,0.214"	"0.487,0.328,0.511,0.502"	-0.101
UMM-S10-36.0-mRNA-1	SE	ChrII	+	4835053	4835258	4834917	4834977	4835309	4835402	"33,23,32,41"	"5,0,2,2"	"24,26,14,13"	"1,0,0,0"	283	78	4.62E-96	6.95E-93	"0.645,1.0,0.815,0.85"	"0.869,1.0,1.0,1.0"	-0.14
UMM-S10-36.0-mRNA-1	SE	ChrII	+	4835053	4835154	4834917	4834977	4835309	4835402	"32,22,32,41"	"5,0,2,2"	"24,27,13,13"	"1,0,0,0"	179	78	0.000352462	0.006895317	"0.736,1.0,0.875,0.899"	"0.913,1.0,1.0,1.0"	-0.101
UMM-S10-36.0-mRNA-1	A5SS	ChrII	+	4834917	4835154	4834917	4834977	4835309	4835402	"5,1,5,3"	"5,0,2,2"	"0,1,0,0"	"1,0,0,0"	255	78	0.017328365	0.17252121	"0.234,1.0,0.433,0.315"	"0.0,1.0,NA,NA"	-0.005
UMM-S10-36.0-mRNA-1	SE	ChrII	+	4835053	4835102	4834917	4834977	4835309	4835402	"62,58,63,79"	"5,0,2,2"	"52,46,32,31"	"1,0,0,0"	127	78	0.024641368	0.268286308	"0.884,1.0,0.951,0.96"	"0.97,1.0,1.0,1.0"	-0.044
UMM-S10-47.41-mRNA-1	A3SS	ChrII	-	5955467	5955535	5955467	5955523	5956413	5956527	"28,24,24,13"	"1,5,3,3"	"26,25,20,20"	"0,3,1,0"	90	78	2.51E-08	1.44E-06	"0.96,0.806,0.874,0.79"	"1.0,0.878,0.945,1.0"	-0.098
UMM-S10-47.41-mRNA-1	SE	ChrII	-	5955740	5955812	5955467	5955523	5956413	5956527	"220,205,239,221"	"1,5,3,3"	"216,193,164,85"	"0,3,1,0"	150	78	1.95E-07	7.63E-06	"0.991,0.955,0.976,0.975"	"1.0,0.971,0.988,1.0"	-0.016
UMM-S10-47.41-mRNA-1	RI	ChrII	-	5955314	5955535	5955314	5955330	5955467	5955535	"298,371,332,300"	"2,3,3,3"	"298,271,318,286"	"5,0,0,1"	215	78	5.99E-07	1.27E-05	"0.982,0.978,0.976,0.973"	"0.956,1.0,1.0,0.99"	-0.009
UMM-S10-47.60-mRNA-1	A3SS	ChrII	+	5893764	5893889	5893796	5893889	5893665	5893707	"4,5,2,1"	"3,6,11,7"	"7,14,11,10"	"10,14,7,9"	110	78	2.21E-17	2.79E-15	"0.486,0.371,0.114,0.092"	"0.332,0.415,0.527,0.441"	-0.163
UMM-S10-47.60-mRNA-1	RI	ChrII	+	5893665	5893876	5893665	5893707	5893796	5893876	"5,10,4,2"	"3,6,11,7"	"11,16,13,12"	"10,14,7,9"	167	78	3.96E-10	1.28E-08	"0.438,0.438,0.145,0.118"	"0.339,0.348,0.464,0.384"	-0.099
UMM-S10-47.60-mRNA-1	RI	ChrII	+	5893230	5893461	5893230	5893299	5893418	5893461	"6,3,3,8"	"3,8,6,4"	"12,19,16,21"	"5,7,8,22"	197	78	0.000220202	0.002483682	"0.442,0.129,0.165,0.442"	"0.487,0.518,0.442,0.274"	-0.136
UMM-S10-73.6-mRNA-1	A3SS	ChrII	+	8606047	8606124	8606057	8606124	8605882	8605997	"4,4,3,3"	"34,35,29,32"	"3,5,6,8"	"28,31,36,21"	88	78	1.79E-12	1.54E-10	"0.094,0.092,0.084,0.077"	"0.087,0.125,0.129,0.252"	-0.061
UMM-S10-73.6-mRNA-1	A3SS	ChrII	+	8599052	8599135	8599091	8599135	8598875	8598992	"18,34,50,39"	"4,9,3,4"	"41,38,44,31"	"9,21,10,12"	117	78	9.21E-10	6.28E-08	"0.75,0.716,0.917,0.867"	"0.752,0.547,0.746,0.633"	0.143
UMM-S10-73.6-mRNA-1	RI	ChrII	+	8606047	8606271	8606047	8606124	8606216	8606271	"1,2,0,1"	"27,29,27,27"	"6,3,2,3"	"33,25,29,25"	170	78	0.003280535	0.026889087	"0.017,0.031,0.0,0.017"	"0.077,0.052,0.031,0.052"	-0.037
UMM-S10-76.6-mRNA-1	A5SS	ChrII	+	8912091	8912146	8912091	8912116	8912349	8912402	"3,10,7,4"	"1,10,11,5"	"19,12,12,19"	"10,5,3,5"	108	78	9.54E-29	2.07E-26	"0.684,0.419,0.315,0.366"	"0.578,0.634,0.743,0.733"	-0.226
UMM-S10-76.6-mRNA-1	A5SS	ChrII	+	8912091	8912146	8912091	8912116	8912349	8912402	"3,10,7,4"	"1,10,11,5"	"19,12,12,19"	"10,5,3,5"	108	78	9.54E-29	2.07E-26	"0.684,0.419,0.315,0.366"	"0.578,0.634,0.743,0.733"	-0.226
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913756	8913822	8913321	8913396	8914098	8914175	"2,0,3,3"	"7,6,3,5"	"4,3,7,6"	"3,6,5,1"	144	78	6.93E-19	6.95E-17	"0.134,0.0,0.351,0.245"	"0.419,0.213,0.431,0.765"	-0.274
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913756	8913822	8913321	8913396	8914098	8914175	"2,0,3,3"	"7,6,3,5"	"4,3,7,6"	"3,6,5,1"	144	78	6.93E-19	6.95E-17	"0.134,0.0,0.351,0.245"	"0.419,0.213,0.431,0.765"	-0.274
UMM-S10-76.6-mRNA-1	A3SS	ChrII	+	8912058	8912116	8912091	8912116	8911933	8911999	"15,15,26,25"	"7,11,8,10"	"14,11,9,11"	"26,30,22,25"	111	78	6.03E-12	4.85E-10	"0.601,0.489,0.695,0.637"	"0.275,0.205,0.223,0.236"	0.371
UMM-S10-76.6-mRNA-1	A3SS	ChrII	+	8912058	8912116	8912091	8912116	8911933	8911999	"15,15,26,25"	"7,11,8,10"	"14,11,9,11"	"26,30,22,25"	111	78	6.03E-12	4.85E-10	"0.601,0.489,0.695,0.637"	"0.275,0.205,0.223,0.236"	0.371
UMM-S10-76.6-mRNA-1	RI	ChrII	+	8911933	8912116	8911933	8911999	8912091	8912116	"4,9,7,2"	"7,11,8,10"	"3,4,1,2"	"26,30,22,25"	170	78	2.08E-06	3.99E-05	"0.208,0.273,0.286,0.084"	"0.05,0.058,0.02,0.035"	0.172
UMM-S10-76.6-mRNA-1	RI	ChrII	+	8911933	8912116	8911933	8911999	8912091	8912116	"4,9,7,2"	"7,11,8,10"	"3,4,1,2"	"26,30,22,25"	170	78	2.08E-06	3.99E-05	"0.208,0.273,0.286,0.084"	"0.05,0.058,0.02,0.035"	0.172
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913505	8913607	8913102	8913156	8913756	8913822	"11,17,13,8"	"2,1,1,4"	"19,11,18,23"	"12,10,7,10"	180	78	4.68E-06	0.000144486	"0.704,0.88,0.849,0.464"	"0.407,0.323,0.527,0.499"	0.285
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913505	8913607	8913102	8913156	8913756	8913822	"11,17,13,8"	"2,1,1,4"	"19,11,18,23"	"12,10,7,10"	180	78	4.68E-06	0.000144486	"0.704,0.88,0.849,0.464"	"0.407,0.323,0.527,0.499"	0.285
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8912766	8913006	8912551	8912617	8913102	8913156	"50,60,70,58"	"2,9,7,12"	"73,68,60,55"	"15,13,9,18"	318	78	1.29E-05	0.000369985	"0.86,0.621,0.71,0.542"	"0.544,0.562,0.621,0.428"	0.144
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8912766	8913006	8912551	8912617	8913102	8913156	"50,60,70,58"	"2,9,7,12"	"73,68,60,55"	"15,13,9,18"	318	78	1.29E-05	0.000369985	"0.86,0.621,0.71,0.542"	"0.544,0.562,0.621,0.428"	0.144
UMM-S10-76.6-mRNA-1	A5SS	ChrII	+	8912091	8912245	8912091	8912146	8912349	8912402	"2,6,2,6"	"2,10,6,4"	"4,3,2,2"	"19,11,12,19"	177	78	4.37E-05	0.001067898	"0.306,0.209,0.128,0.398"	"0.085,0.107,0.068,0.044"	0.184
UMM-S10-76.6-mRNA-1	A5SS	ChrII	+	8912091	8912245	8912091	8912146	8912349	8912402	"2,6,2,6"	"2,10,6,4"	"4,3,2,2"	"19,11,12,19"	177	78	4.37E-05	0.001067898	"0.306,0.209,0.128,0.398"	"0.085,0.107,0.068,0.044"	0.184
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913321	8913396	8913102	8913156	8913756	8913822	"15,14,12,18"	"2,1,1,4"	"19,14,21,19"	"12,10,7,10"	153	78	8.21E-05	0.001827847	"0.793,0.877,0.86,0.696"	"0.447,0.416,0.605,0.492"	0.317
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913321	8913396	8913102	8913156	8913756	8913822	"15,14,12,18"	"2,1,1,4"	"19,14,21,19"	"12,10,7,10"	153	78	8.21E-05	0.001827847	"0.793,0.877,0.86,0.696"	"0.447,0.416,0.605,0.492"	0.317
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913321	8913396	8913102	8913156	8914098	8914175	"20,20,14,20"	"0,2,3,3"	"18,17,19,14"	"4,3,1,2"	153	78	0.002715572	0.042794204	"1.0,0.836,0.704,0.773"	"0.696,0.743,0.906,0.781"	0.047
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913321	8913396	8913102	8913156	8914098	8914175	"20,20,14,20"	"0,2,3,3"	"18,17,19,14"	"4,3,1,2"	153	78	0.002715572	0.042794204	"1.0,0.836,0.704,0.773"	"0.696,0.743,0.906,0.781"	0.047
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913536	8913607	8913102	8913156	8913756	8913822	"7,11,7,5"	"2,1,1,4"	"13,7,15,14"	"12,10,7,10"	149	78	0.00276292	0.043416187	"0.647,0.852,0.786,0.396"	"0.362,0.268,0.529,0.423"	0.275
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913536	8913607	8913102	8913156	8913756	8913822	"7,11,7,5"	"2,1,1,4"	"13,7,15,14"	"12,10,7,10"	149	78	0.00276292	0.043416187	"0.647,0.852,0.786,0.396"	"0.362,0.268,0.529,0.423"	0.275
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913756	8913822	8913102	8913156	8914098	8914175	"2,1,3,4"	"0,2,3,3"	"11,10,7,9"	"4,3,1,2"	144	78	0.005309244	0.07697871	"1.0,0.213,0.351,0.419"	"0.598,0.644,0.791,0.709"	-0.19
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913756	8913822	8913102	8913156	8914098	8914175	"2,1,3,4"	"0,2,3,3"	"11,10,7,9"	"4,3,1,2"	144	78	0.005309244	0.07697871	"1.0,0.213,0.351,0.419"	"0.598,0.644,0.791,0.709"	-0.19
UMM-S10-76.6-mRNA-1	A3SS	ChrII	+	8919204	8919432	8919352	8919432	8918847	8918913	"0,1,1,0"	"0,2,0,0"	"1,0,1,0"	"2,0,1,0"	226	78	0.006437458	0.110176132	"NA,0.147,1.0,NA"	"0.147,NA,0.257,NA"	0.371
UMM-S10-76.6-mRNA-1	A3SS	ChrII	+	8919204	8919432	8919352	8919432	8918847	8918913	"0,1,1,0"	"0,2,0,0"	"1,0,1,0"	"2,0,1,0"	226	78	0.006437458	0.110176132	"NA,0.147,1.0,NA"	"0.147,NA,0.257,NA"	0.371
UMM-S10-76.6-mRNA-1	A5SS	ChrII	+	8912349	8912402	8912349	8912393	8912449	8912509	"1,1,2,0"	"11,30,28,28"	"6,2,2,3"	"36,24,26,40"	87	78	0.006448887	0.078788572	"0.075,0.029,0.06,0.0"	"0.13,0.07,0.065,0.063"	-0.041
UMM-S10-76.6-mRNA-1	A5SS	ChrII	+	8912349	8912402	8912349	8912393	8912449	8912509	"1,1,2,0"	"11,30,28,28"	"6,2,2,3"	"36,24,26,40"	87	78	0.006448887	0.078788572	"0.075,0.029,0.06,0.0"	"0.13,0.07,0.065,0.063"	-0.041
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913952	8914003	8913102	8913156	8914098	8914175	"6,7,7,5"	"0,2,3,3"	"10,9,11,14"	"4,3,1,2"	129	78	0.028566283	0.302840151	"1.0,0.679,0.585,0.502"	"0.602,0.645,0.869,0.809"	-0.04
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913952	8914003	8913102	8913156	8914098	8914175	"6,7,7,5"	"0,2,3,3"	"10,9,11,14"	"4,3,1,2"	129	78	0.028566283	0.302840151	"1.0,0.679,0.585,0.502"	"0.602,0.645,0.869,0.809"	-0.04
UMM-S10-76.6-mRNA-1	SE	ChrII	+	8913505	8913607	8913321	8913396	8913756	8913822	"7,14,9,6"	"2,0,1,3"	"15,10,18,16"	"4,3,7,6"	180	78	0.045932371	0.440178568	"0.603,1.0,0.796,0.464"	"0.619,0.591,0.527,0.536"	0.147
