"","A10_S18_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A11_S21_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A7_S12_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A9_S15_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B10_S19_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B11_S22_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B7_S13_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B9_S16_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C2_S6_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C7_S14_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D0_S1_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D1_S4_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D3_S8_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D4_S10_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D5_S11_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E0_S2_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E1_S5_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E2_S7_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","F10_S20_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam"
"dp_gene16",33,37,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"dp_gene17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene18",0,1,2,0,2,1,0,5,2,0,0,1,0,0,4,1,4,1,0
"dp_gene19",1,0,2,6,11,12,20,8,36,10,26,46,5,12,41,52,56,42,26
"dp_gene20",0,0,2,2,2,1,5,3,10,3,4,3,0,6,15,17,7,12,11
"dp_gene21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene23",2,2,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"dp_gene24",2,2,1,2,2,1,3,0,0,3,1,1,0,0,0,0,0,1,1
"dp_gene25",0,3,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,2,1
"dp_gene26",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene27",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"dp_gene28",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"dp_gene29",1,0,1,2,2,6,10,3,9,4,4,4,0,0,1,0,1,2,2
"dp_gene30",5,3,3,3,3,2,2,2,3,3,1,2,1,0,1,5,0,5,1
"dp_gene31",2,14,19,15,23,37,33,17,28,22,22,35,12,26,42,45,35,37,12
"dp_gene32",62,56,40,46,36,49,84,42,80,109,78,90,12,57,147,127,73,91,69
"dp_gene33",162,156,121,122,92,112,133,112,54,59,11,8,6,3,20,17,6,11,8
"dp_gene34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dp_gene37",0,1,0,1,2,5,6,2,0,0,0,0,0,0,0,0,0,0,2
"dp_gene38",59,51,38,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene39",48,25,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene40",15,13,8,11,0,0,1,1,3,1,0,0,0,0,0,0,4,1,0
"dp_gene41",7,15,6,24,41,55,62,20,39,39,36,17,0,3,32,43,47,23,28
"dp_gene42",0,0,0,0,0,2,2,2,1,3,2,4,0,0,4,8,7,10,3
"dp_gene43",0,0,0,1,10,12,12,6,0,2,0,2,0,0,0,0,0,0,0
"dp_gene44",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene45",4,3,1,0,2,3,2,3,1,5,0,0,0,0,1,2,1,0,0
"dp_gene46",0,0,0,1,4,7,8,3,0,2,0,2,0,0,0,0,0,0,0
"dp_gene47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene48",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene49",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dp_gene53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene56",31,28,26,9,0,0,0,1,4,0,2,2,0,1,3,0,0,0,0
"dp_gene57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene59",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"dp_gene60",29,9,16,16,20,18,23,17,14,24,8,11,3,7,13,19,5,12,3
"dp_gene61",3,6,1,2,6,1,3,2,2,0,2,1,0,1,3,2,0,1,2
"dp_gene62",2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"dp_gene63",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"dp_gene64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene65",1,4,5,2,0,3,3,3,3,3,6,2,1,0,1,3,1,0,1
"dp_gene66",0,0,1,0,1,0,3,0,0,0,1,2,1,2,1,1,0,1,2
"dp_gene67",1,0,1,0,0,1,2,2,1,1,1,1,0,0,1,1,0,0,0
"dp_gene68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene69",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"dp_gene70",1,0,2,1,2,2,1,1,0,2,3,12,6,8,6,27,43,33,22
"dp_gene71",0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,1,1,3
"dp_gene72",12,13,9,3,5,0,0,0,2,0,1,0,0,0,6,1,0,1,0
"dp_gene73",0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"dp_gene74",1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"dp_gene75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"dp_gene76",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene77",0,6,0,2,7,8,4,2,30,4,133,73,25,41,202,232,71,146,120
"dp_gene78",109,144,111,80,171,183,285,107,192,187,149,88,69,32,163,166,108,168,108
"dp_gene79",3,7,4,4,9,4,10,6,8,22,6,9,4,5,14,5,6,8,3
"dp_gene80",9,3,17,11,114,125,237,81,198,184,250,189,89,46,318,210,62,133,206
"dp_gene81",314,258,166,152,105,139,206,111,154,158,120,143,47,79,167,184,198,169,37
"dp_gene82",145,131,117,121,91,107,196,110,166,168,137,202,59,132,224,331,205,254,345
"dp_gene83",8,3,14,14,9,26,15,11,13,10,11,24,6,7,27,26,26,33,5
"dp_gene84",4,2,2,7,3,11,21,11,23,13,10,18,4,9,21,11,19,14,7
"dp_gene85",1,0,1,4,0,3,2,1,2,3,1,0,0,0,4,1,0,1,2
"dp_gene86",2,1,1,0,0,0,3,0,1,1,1,2,0,1,1,7,6,6,24
"dp_gene87",0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,3,3,2,2
"dp_gene88",0,0,0,0,0,0,2,0,5,0,25,14,5,5,21,104,77,56,185
"dp_gene89",0,0,0,0,0,1,0,3,0,1,1,4,0,1,2,6,0,10,13
"dp_gene90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dp_gene91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene92",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0
"dp_gene93",0,2,1,2,1,4,5,1,3,0,3,2,0,0,1,23,6,6,6
"dp_gene94",81,70,39,24,0,1,2,0,0,0,0,0,0,0,2,3,1,0,2
"dp_gene95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene96",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4
"dp_gene97",18,20,9,23,22,42,47,16,31,25,21,8,0,1,24,24,28,10,20
"dp_gene98",0,4,5,8,25,24,57,33,50,55,43,52,10,28,66,47,67,51,30
"dp_gene99",5,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dp_gene100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene101",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene103",2,3,0,1,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0
"dp_gene104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene105",2,1,4,1,0,2,0,0,0,1,4,0,0,0,0,6,10,4,7
"dp_gene106",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene107",0,4,5,7,20,31,45,35,54,64,51,55,18,32,69,66,63,49,14
"dp_gene108",7,13,4,19,26,46,46,14,26,29,21,10,0,2,22,23,24,14,17
"dp_gene109",0,0,0,0,0,2,1,2,0,2,1,4,0,0,4,5,7,8,2
"dp_gene110",1,1,2,2,1,2,0,2,2,0,1,2,0,0,0,0,0,0,1
"dp_gene111",0,2,0,0,0,0,4,1,5,1,6,6,0,2,8,9,7,5,1
"dp_gene112",0,0,0,1,1,2,5,2,3,7,3,13,0,6,1,9,9,2,2
"dp_gene113",0,1,1,3,2,1,2,1,0,0,1,0,0,0,1,2,0,0,0
"dp_gene114",12,27,14,33,53,56,69,34,58,48,43,12,10,4,30,53,33,49,37
"dp_gene115",0,1,6,6,19,11,26,15,22,29,22,40,7,16,50,37,40,28,21
"dp_gene116",0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,3
"dp_gene117",75,79,79,62,99,107,137,108,80,97,27,33,1,11,25,17,11,7,7
"dp_gene118",8,13,13,9,12,15,12,13,8,14,1,5,0,0,1,0,3,3,1
"dp_gene119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene120",0,0,1,0,0,2,0,2,2,0,5,7,4,5,8,6,7,8,6
"dp_gene121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene122",0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,1,6,0,0
"dp_gene123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene124",0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,9,4,1
"dp_gene125",0,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,7,2,4
"dp_gene126",1,3,0,0,2,1,2,0,2,1,7,4,0,1,2,7,3,6,10
"dp_gene127",1,0,3,3,3,3,5,1,9,4,24,17,4,8,27,30,38,31,15
"dp_gene128",4,3,6,2,2,2,2,1,3,1,2,0,0,2,1,6,1,4,14
"dp_gene129",7,2,5,6,5,6,4,1,1,0,3,3,0,2,5,2,4,3,7
"dp_gene130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"dp_gene131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene133",2,4,0,1,1,1,4,0,4,0,1,4,0,0,5,0,7,1,1
"dp_gene134",1,1,3,1,4,3,4,6,7,2,9,10,0,3,9,11,1,8,2
"dp_gene135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene136",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
"dp_gene137",6,22,16,27,42,47,93,55,74,70,45,60,21,18,53,86,79,49,17
"dp_gene138",18,15,11,7,3,9,10,3,7,11,7,18,2,7,17,27,28,20,3
"dp_gene139",3,1,3,3,5,5,8,1,5,2,18,14,4,3,22,62,71,63,38
"dp_gene140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene141",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"dp_gene142",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2
"dp_gene143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene144",0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,1,2,0
"dp_gene145",0,1,3,2,1,1,1,0,1,0,3,1,0,1,0,0,0,0,0
"dp_gene146",4,1,7,7,5,1,5,3,0,2,1,0,0,0,1,5,5,6,12
"dp_gene147",1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"dp_gene148",2,0,0,0,6,19,20,12,4,18,7,8,5,9,8,10,3,3,0
"dp_gene149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene151",0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4
"dp_gene152",1,0,0,0,2,2,1,0,6,3,0,9,1,0,2,5,5,4,3
"dp_gene153",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dp_gene154",1,6,3,1,4,2,8,4,9,7,1,4,0,1,8,13,9,9,5
"dp_gene155",0,0,0,0,2,3,1,0,4,2,0,9,1,0,3,8,9,6,5
"dp_gene156",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene157",7,12,9,5,1,2,6,5,1,4,5,7,0,0,2,3,3,1,1
"dp_gene158",2,6,11,10,10,7,31,11,22,13,17,11,5,3,13,20,15,8,11
"dp_gene159",5,8,3,5,3,0,4,0,2,0,0,0,0,1,1,0,1,0,1
"dp_gene160",5,1,7,3,1,4,2,0,2,0,0,0,0,0,0,1,0,0,1
"dp_gene161",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene162",0,0,0,1,1,2,1,1,2,1,1,1,0,0,0,1,1,0,0
"dp_gene163",0,2,1,0,0,1,1,0,1,0,0,2,0,0,3,2,5,3,2
"dp_gene164",7,2,3,3,3,2,4,3,0,1,1,4,0,0,0,0,1,3,1
"dp_gene165",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene166",1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,5
"dp_gene167",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene169",0,0,0,0,0,0,1,0,0,0,6,0,0,1,3,5,5,1,5
"dp_gene170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"dp_gene171",0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,1,2,2
"dp_gene172",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"dp_gene173",0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0
"dp_gene174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene175",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene176",0,0,0,0,2,1,1,0,1,0,1,1,0,0,4,0,0,0,3
"dp_gene177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene179",3,4,3,3,10,13,16,6,19,12,7,30,0,6,6,22,19,7,10
"dp_gene180",3,1,8,11,7,7,10,16,5,12,0,4,0,2,1,0,1,1,0
"dp_gene181",1,3,2,2,4,4,5,4,2,0,3,0,0,0,2,2,6,8,8
"dp_gene182",1400,1086,727,406,7,7,9,3,6,2,1,1,0,0,1,1,3,0,1
"dp_gene183",26,10,17,6,11,5,13,4,12,9,9,8,1,4,13,9,7,3,7
"dp_gene184",21,25,45,46,35,51,76,67,82,79,41,79,15,59,46,65,65,49,21
"dp_gene185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene186",0,1,1,0,0,1,1,4,0,3,0,1,0,0,3,2,4,1,2
"dp_gene187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"dp_gene189",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,11
"dp_gene190",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,8
"dp_gene191",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene192",0,0,0,0,0,0,0,2,0,3,0,2,0,0,2,1,0,1,1
"dp_gene193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene195",4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dp_gene196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene197",33,13,25,10,1,1,7,2,0,0,4,1,0,0,2,0,0,2,2
"dp_gene198",0,0,3,3,0,3,0,2,0,1,1,4,0,2,4,8,7,3,4
"dp_gene199",6,2,2,2,1,5,12,2,1,2,1,1,0,0,1,0,3,1,0
"dp_gene200",1362,1512,1242,1275,1749,2052,2225,1361,1423,1452,635,424,168,69,656,413,356,518,427
"dp_gene201",6,2,6,5,3,1,1,2,0,0,1,0,0,0,2,0,0,1,0
"dp_gene202",6,1,1,7,4,1,2,0,2,1,0,2,0,0,2,2,0,1,2
"dp_gene203",0,0,0,2,1,1,0,0,0,1,2,1,1,0,0,0,1,0,2
"dp_gene204",0,3,1,4,2,0,3,0,0,0,2,2,1,3,0,6,13,7,7
"dp_gene205",835,840,692,681,599,698,841,557,689,681,472,340,141,69,433,361,205,280,387
"dp_gene206",17,19,12,12,13,7,21,7,30,24,54,61,11,19,66,91,81,52,49
"dp_gene207",12,17,16,21,40,61,93,46,84,77,68,67,12,35,63,96,92,63,57
"dp_gene208",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene211",1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,4,0,1,0
"dp_gene212",4,3,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"dp_gene213",1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2,1,0,0
"dp_gene214",1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene215",4,7,3,2,1,2,0,0,0,1,1,2,5,1,0,5,3,0,1
"dp_gene216",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
"dp_gene217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dp_gene218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene220",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"dp_gene221",0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
"dp_gene222",97,94,60,90,42,55,68,56,44,36,23,15,9,8,20,22,14,15,10
"dp_gene223",18,19,23,20,12,2,22,18,2,24,7,24,10,24,29,22,10,8,121
"dp_gene224",6,3,6,4,8,1,3,3,1,7,1,0,2,0,6,2,4,2,5
"dp_gene225",12,6,2,3,4,5,6,1,2,3,1,1,0,1,2,1,6,2,0
"dp_gene226",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"dp_gene227",0,0,0,2,1,1,2,6,4,0,4,2,5,3,0,1,0,0,0
"dp_gene228",2,3,1,2,8,16,7,10,9,12,5,11,5,6,2,9,7,12,6
"dp_gene229",0,0,1,0,0,0,0,0,0,0,2,5,1,0,0,16,5,3,66
"dp_gene230",3,0,2,1,3,2,0,0,6,1,4,0,1,3,4,6,7,8,2
"dp_gene231",4,3,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"dp_gene232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene233",0,0,0,0,1,2,1,0,0,1,1,1,0,0,1,0,1,0,0
"dp_gene234",0,1,2,3,6,8,11,5,7,3,2,3,2,0,5,6,3,8,6
"dp_gene235",0,0,1,1,0,0,1,0,0,0,2,1,0,0,2,3,2,3,0
"dp_gene236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene237",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dp_gene238",188,111,99,87,80,94,157,90,86,99,57,82,26,27,84,80,58,48,49
"dp_gene239",3,17,22,19,12,9,19,22,5,13,4,7,0,0,5,8,1,2,2
"dp_gene240",0,3,3,2,4,1,7,2,1,1,1,3,0,2,3,2,13,6,4
"dp_gene241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene243",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene244",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"dp_gene245",3,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0
"dp_gene246",27,28,37,56,49,61,95,56,113,87,47,90,20,28,81,53,54,71,20
"dp_gene247",9,11,22,11,4,9,18,20,16,18,4,8,4,6,11,5,8,6,3
"dp_gene248",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene249",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene252",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
"dp_gene253",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene255",20,4,11,11,19,6,10,5,3,6,0,3,0,0,6,1,1,1,8
"dp_gene256",1,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"dp_gene257",1,1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
"dp_gene258",0,0,1,1,3,10,27,5,44,35,59,33,10,16,51,94,81,53,48
"dp_gene259",2,11,2,11,0,0,0,0,1,0,1,1,0,2,1,4,2,0,3
"dp_gene260",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"dp_gene261",7,6,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,11
"dp_gene263",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
"dp_gene264",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene265",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"dp_gene266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene267",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,3
"dp_gene268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dp_gene269",3,5,0,1,12,5,6,1,2,5,3,3,0,0,0,13,4,6,1
"dp_gene270",8,2,3,2,6,2,10,2,5,5,4,16,0,0,4,5,1,7,0
"dp_gene271",4,4,3,3,6,1,3,2,0,1,2,2,0,3,8,14,18,12,108
"dp_gene272",1,2,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
