UMM-S273-2.27-mRNA-1	GO:0008289
UMM-S212-3.45-mRNA-1	GO:0016020
UMM-S57-26.14-mRNA-1	GO:0016021
UMM-S57-26.4-mRNA-1	GO:0005777
UMM-S57-26.5-mRNA-1	GO:0016020
UMM-S57-26.6-mRNA-1	GO:0016021
UMM-S57-27.39-mRNA-1	GO:0016020
UMM-S57-27.2-mRNA-1	GO:0016021
UMM-S57-27.7-mRNA-1	GO:0005576
UMS-S57-27.26-mRNA-1	GO:0016021
UMM-S57-28.0-mRNA-1	GO:0006486
UMM-S57-28.41-mRNA-1	GO:0016021
UMS-S57-28.15-mRNA-1	GO:0003677
UMM-S7-67.68-mRNA-1	GO:0016021
UMM-S57-28.43-mRNA-1	GO:0016021
UMM-S57-28.8-mRNA-1	GO:0032947
UMM-S57-28.9-mRNA-1	GO:0032947
UMM-S57-29.2-mRNA-1	GO:0006974
UMM-S57-29.3-mRNA-1	GO:0046933
UMM-S57-29.15-mRNA-1	GO:0016021
UMM-S57-29.16-mRNA-1	GO:0016021
UMM-S57-30.32-mRNA-1	GO:0003677
UMM-S57-30.39-mRNA-1	GO:0003735
UMM-S57-30.58-mRNA-1	GO:0016020
UMM-S57-30.34-mRNA-1	GO:0046872
UMM-S57-26.2-mRNA-1	GO:0046872
UMM-S10-91.1-mRNA-1	GO:0046872
UMM-S230-0.11-mRNA-2	GO:0046872
UMA-S57-30.29-mRNA-1	GO:0016192
UMM-S57-30.52-mRNA-1	GO:0003676
UMM-S57-30.53-mRNA-1	GO:0005634
UMA-S57-30.30-mRNA-1	GO:0005737
UMM-S57-30.63-mRNA-1	GO:0070125
UMA-S57-31.33-mRNA-1	GO:0051726
UMM-S57-31.53-mRNA-1	GO:0006886
UMM-S57-31.58-mRNA-1	GO:0008203
UMM-S57-31.59-mRNA-1	GO:0003824
UMM-S57-31.52-mRNA-1	GO:0016020
UMM-S50-4.45-mRNA-1	GO:0007637
UMM-S57-32.0-mRNA-1	GO:0007637
UMM-S57-32.52-mRNA-1	GO:0016021
UMM-S2838-5.38-mRNA-2	GO:0016021
UMM-S57-32.2-mRNA-2	GO:0010469
UMM-S435-2.123-mRNA-1	GO:0010469
UMM-S57-32.53-mRNA-1	GO:0004175
UMM-S57-32.48-mRNA-1	GO:0005856
UMM-S57-32.54-mRNA-1	GO:0035023
UMM-S57-32.4-mRNA-1	GO:0004386
UMM-S57-32.50-mRNA-1	GO:0006886
UMM-S57-33.28-mRNA-1	GO:0004601
UMM-S57-33.30-mRNA-1	GO:0016021
UMM-S57-33.53-mRNA-1	GO:0016021
UMM-S57-33.49-mRNA-1	GO:0016021
UMA-S442-1.20-mRNA-1	GO:0003677
UMS-S13-78.42-mRNA-1	GO:0003677
UMM-S57-33.50-mRNA-1	GO:0003677
UMM-S230-0.21-mRNA-1	GO:0008270
UMS-S57-34.14-mRNA-1	GO:0008270
UMM-S57-34.21-mRNA-1	GO:0004867
UMM-S57-35.0-mRNA-1	GO:0006355
UMM-S57-34.35-mRNA-1	GO:0016020
UMM-S13-16.10-mRNA-1	GO:0016020
UMM-S57-35.51-mRNA-1	GO:0016021
UMM-S57-35.7-mRNA-1	GO:0004601
UMS-S57-35.20-mRNA-1	GO:0016020
UMM-S57-35.61-mRNA-1	GO:0016021
UMS-S57-35.23-mRNA-1	GO:0007165
UMM-S57-35.63-mRNA-1	GO:0016021
UMM-S230-9.28-mRNA-1	GO:0004930
UMA-S50-1.94-mRNA-1	GO:0004930
UMM-S57-36.6-mRNA-1	GO:0004930
UMM-S57-36.7-mRNA-1	GO:0016020
UMM-S2847-17.16-mRNA-1	GO:0003735
UMM-S57-36.21-mRNA-1	GO:0016021
UMM-S57-36.10-mRNA-1	GO:0005634
UMM-S57-36.11-mRNA-1	GO:0005509
UMM-S57-33.48-mRNA-1	GO:0005509
UMA-S387-3.46-mRNA-1	GO:0048188
UMM-S57-36.15-mRNA-2	GO:0048188
UMM-S57-36.5-mRNA-1	GO:0048188
UMM-S57-37.43-mRNA-1	GO:0042302
UMM-S57-37.34-mRNA-2	GO:0045429
UMM-S57-37.37-mRNA-1	GO:0045429
UMM-S57-37.38-mRNA-1	GO:0007212
UMM-S57-37.31-mRNA-1	GO:0004185
UMM-S57-37.32-mRNA-1	GO:0005783
UMM-S57-37.46-mRNA-1	GO:0016020
UMM-S57-37.47-mRNA-1	GO:0016021
UMM-S57-38.0-mRNA-1	GO:1903507
UMM-S57-38.68-mRNA-1	GO:0016021
UMM-S57-38.1-mRNA-1	GO:0032502
UMM-S57-38.63-mRNA-1	GO:0006259
UMM-S57-38.13-mRNA-1	GO:0007268
UMM-S57-38.64-mRNA-1	GO:0016021
UMM-S57-38.70-mRNA-1	GO:0006122
UMM-S112-1.11-mRNA-1	GO:0005524
UMM-S57-38.4-mRNA-1	GO:0005524
UMM-S112-1.24-mRNA-1	GO:0005524
UMM-S2866-1.48-mRNA-1	GO:0006468
UMM-S57-38.66-mRNA-1	GO:0006468
UMM-S57-38.67-mRNA-1	GO:0003997
UMM-S57-38.75-mRNA-1	GO:0003997
UMM-S57-38.76-mRNA-1	GO:0032543
UMM-S57-38.20-mRNA-1	GO:0097255
UMM-S57-39.50-mRNA-1	GO:0006511
UMM-S57-39.8-mRNA-1	GO:0004222
UMM-S57-39.55-mRNA-1	GO:0090502
UMM-S57-39.11-mRNA-1	GO:0016021
UMM-S57-39.61-mRNA-1	GO:0004084
UMA-S57-40.21-mRNA-1	GO:0016021
UMA-S57-40.20-mRNA-1	GO:0016020
UMM-S57-40.38-mRNA-1	GO:0044325
UMM-S57-40.33-mRNA-1	GO:0005777
UMM-S57-40.45-mRNA-1	GO:0006355
UMS-S57-40.19-mRNA-1	GO:0015347
UMM-S230-1.3-mRNA-1	GO:0016787
UMM-S57-41.24-mRNA-1	GO:0016787
UMM-S57-41.26-mRNA-1	GO:0016020
UMM-S57-41.17-mRNA-2	GO:0016020
UMM-S57-41.4-mRNA-1	GO:0005886
UMM-S57-41.5-mRNA-1	GO:0003841
UMM-S57-41.21-mRNA-1	GO:0003677
UMM-S10-17.25-mRNA-1	GO:0003677
UMM-S57-41.22-mRNA-1	GO:0046983
UMM-S57-41.23-mRNA-1	GO:0046983
UMM-S57-41.13-mRNA-1	GO:0005634
UMM-S57-42.9-mRNA-1	GO:0005743
UMM-S57-42.0-mRNA-1	GO:0003676
UMM-S57-42.1-mRNA-1	GO:0003676
UMM-S57-42.2-mRNA-1	GO:0016020
UMM-S57-42.3-mRNA-1	GO:0016020
UMM-S57-42.16-mRNA-1	GO:0016020
UMM-S57-42.18-mRNA-1	GO:0005869
UMM-S57-42.7-mRNA-1	GO:0051276
UMA-S57-42.27-mRNA-1	GO:0051276
UMM-S57-42.8-mRNA-1	GO:0016021
UMM-S57-42.79-mRNA-1	GO:0046872
UMM-S57-43.8-mRNA-1	GO:0016021
UMM-S57-43.64-mRNA-1	GO:0006629
UMM-S57-43.55-mRNA-1	GO:0016020
UMM-S57-43.65-mRNA-1	GO:0005216
UMM-S285-12.57-mRNA-1	GO:0016020
UMM-S57-43.66-mRNA-1	GO:0016020
UMM-S57-43.56-mRNA-1	GO:0016021
UMS-S57-43.46-mRNA-1	GO:0043565
UMM-S57-43.13-mRNA-1	GO:0035327
UMS-S341-6.54-mRNA-1	GO:0031047
UMM-S57-43.57-mRNA-1	GO:0031047
UMA-S57-45.20-mRNA-1	GO:0031047
UMM-S10-33.57-mRNA-1	GO:0006412
UMS-S60-26.55-mRNA-1	GO:0006412
UMM-S10-16.12-mRNA-1	GO:0006412
UMM-S60-12.35-mRNA-1	GO:0006412
UMM-S13-9.32-mRNA-1	GO:0006412
UMM-S57-43.5-mRNA-1	GO:0006412
UMM-S2840-89.18-mRNA-1	GO:0006412
UMM-S60-25.53-mRNA-1	GO:0006898
UMM-S57-43.15-mRNA-1	GO:0016567
UMM-S57-43.16-mRNA-1	GO:0016567
UMM-S57-43.17-mRNA-1	GO:0006355
UMM-S57-44.23-mRNA-1	GO:0098664
UMM-S397-3.75-mRNA-1	GO:0007186
UMM-S57-44.26-mRNA-1	GO:0007186
UMA-S57-44.9-mRNA-1	GO:0036459
UMM-S57-44.25-mRNA-1	GO:0016021
UMA-S57-44.12-mRNA-1	GO:0015385
UMM-S57-45.41-mRNA-1	GO:0003723
UMM-S57-45.42-mRNA-1	GO:0004356
UMM-S230-10.17-mRNA-1	GO:0004356
UMM-S57-45.11-mRNA-1	GO:0005085
UMA-S57-45.18-mRNA-1	GO:0008194
UMM-S2840-76.31-mRNA-1	GO:0008194
UMM-S57-45.12-mRNA-1	GO:0016020
UMM-S57-46.25-mRNA-1	GO:0008168
UMM-S57-46.41-mRNA-1	GO:0016021
UMM-S57-46.47-mRNA-1	GO:0005730
UMM-S57-46.29-mRNA-1	GO:0016021
UMS-S57-47.62-mRNA-1	GO:0016020
UMM-S57-47.22-mRNA-1	GO:0004620
UMM-S57-47.19-mRNA-1	GO:0003713
UMM-S57-48.47-mRNA-1	GO:0006351
UMM-S57-48.36-mRNA-3	GO:0005634
UMM-S50-45.56-mRNA-1	GO:0005634
UMS-S283-8.97-mRNA-1	GO:0016021
UMS-S212-5.84-mRNA-1	GO:0016021
UMM-S57-48.37-mRNA-1	GO:0016021
UMM-S57-48.8-mRNA-1	GO:0052857
UMM-S7-13.36-mRNA-1	GO:0052857
UMM-S57-48.3-mRNA-1	GO:0016020
UMM-S57-48.4-mRNA-1	GO:0005634
UMM-S57-48.45-mRNA-1	GO:0005615
UMS-S57-49.27-mRNA-1	GO:0006508
UMS-S57-49.22-mRNA-1	GO:0005524
UMM-S57-49.47-mRNA-1	GO:0016021
UMA-S57-49.37-mRNA-1	GO:0055114
UMM-S13-8.37-mRNA-1	GO:0055114
UMM-S196-0.0-mRNA-1	GO:0008289
UMA-S473-0.25-mRNA-1	GO:0005525
UMM-S230-6.23-mRNA-1	GO:0005525
UMS-S196-17.23-mRNA-1	GO:0006412
UMS-S2840-23.57-mRNA-1	GO:0006412
UMM-S196-1.34-mRNA-1	GO:0005524
UMM-S196-1.42-mRNA-1	GO:0003676
UMM-S196-7.61-mRNA-1	GO:0016021
UMM-S196-1.35-mRNA-1	GO:0016021
UMS-S245-1.21-mRNA-1	GO:0005763
UMM-S41-46.29-mRNA-1	GO:0005763
UMA-S112-31.57-mRNA-1	GO:0005763
UMM-S196-2.8-mRNA-1	GO:0005763
UMS-S2847-11.21-mRNA-1	GO:0005763
UMM-S13-46.32-mRNA-1	GO:0005763
UMM-S196-1.29-mRNA-1	GO:0003735
UMA-S196-1.4-mRNA-1	GO:0003735
UMM-S196-1.36-mRNA-1	GO:0005739
UMM-S196-26.17-mRNA-1	GO:0005739
UMM-S2847-26.31-mRNA-1	GO:0005739
UMA-S196-1.5-mRNA-1	GO:0016021
UMM-S50-41.10-mRNA-1	GO:0016020
UMM-S2844-26.56-mRNA-1	GO:0005623
UMM-S2854-5.51-mRNA-1	GO:0005623
UMM-S50-41.29-mRNA-1	GO:0005623
UMM-S50-41.34-mRNA-1	GO:0016020
UMM-S50-40.20-mRNA-1	GO:0006629
UMS-S398-4.29-mRNA-1	GO:0016020
UMM-S50-40.18-mRNA-1	GO:0016020
UMM-S2840-81.16-mRNA-1	GO:0016020
UMM-S50-40.36-mRNA-1	GO:0016020
UMM-S50-39.25-mRNA-1	GO:0003824
UMM-S50-39.24-mRNA-1	GO:0005509
UMM-S50-39.18-mRNA-1	GO:0016021
UMS-S50-39.8-mRNA-1	GO:0002119
UMM-S341-2.2-mRNA-1	GO:0002119
UMM-S50-39.17-mRNA-1	GO:0016020
UMM-S2840-23.43-mRNA-1	GO:0016020
UMM-S2859-5.52-mRNA-1	GO:0016020
UMM-S2840-32.72-mRNA-1	GO:0016020
UMA-S50-39.37-mRNA-1	GO:0005829
UMM-S50-38.2-mRNA-3	GO:0005524
UMS-S50-38.58-mRNA-1	GO:0007165
UMM-S50-38.10-mRNA-1	GO:0016021
UMM-S50-37.27-mRNA-1	GO:0016020
UMM-S50-38.8-mRNA-1	GO:0016020
UMM-S50-38.0-mRNA-1	GO:0016020
UMM-S50-38.7-mRNA-1	GO:0016020
UMM-S50-38.6-mRNA-1	GO:0016020
UMM-S50-38.5-mRNA-1	GO:0016020
UMA-S50-37.17-mRNA-1	GO:0016021
UMA-S50-37.16-mRNA-1	GO:0016020
UMM-S50-37.11-mRNA-1	GO:0016020
UMM-S50-37.23-mRNA-1	GO:0016021
UMM-S50-12.54-mRNA-1	GO:0016021
UMM-S2840-87.31-mRNA-1	GO:0016021
UMM-S379-6.103-mRNA-1	GO:0016021
UMM-S50-36.41-mRNA-1	GO:0005615
UMM-S50-36.25-mRNA-1	GO:0004815
UMM-S50-36.47-mRNA-1	GO:0000902
UMM-S50-35.11-mRNA-1	GO:0008134
UMM-S50-35.36-mRNA-1	GO:0006412
UMM-S50-34.36-mRNA-1	GO:0005737
UMM-S50-34.11-mRNA-1	GO:0005125
UMM-S50-34.4-mRNA-1	GO:0003676
UMM-S50-34.28-mRNA-1	GO:0003712
UMM-S50-34.0-mRNA-1	GO:0004020
UMM-S50-33.13-mRNA-1	GO:0008146
UMM-S50-33.40-mRNA-1	GO:0008083
UMM-S50-33.50-mRNA-1	GO:0003676
UMA-S2840-80.113-mRNA-1	GO:0003676
UMS-S50-33.73-mRNA-1	GO:0004672
UMM-S50-33.37-mRNA-1	GO:0016021
UMS-S50-33.62-mRNA-1	GO:0051091
UMS-S50-33.61-mRNA-1	GO:0005672
UMM-S50-33.34-mRNA-1	GO:0051082
UMM-S50-33.9-mRNA-1	GO:0016573
UMM-S50-33.8-mRNA-1	GO:0016020
UMM-S50-33.7-mRNA-1	GO:0042393
UMM-S50-31.33-mRNA-1	GO:0045165
UMM-S50-31.12-mRNA-1	GO:0035243
UMM-S50-31.35-mRNA-1	GO:0016020
UMM-S196-13.58-mRNA-2	GO:0016020
UMM-S50-31.4-mRNA-1	GO:0017108
UMM-S50-31.2-mRNA-1	GO:0016021
UMM-S2840-99.58-mRNA-1	GO:0016020
UMM-S50-30.63-mRNA-1	GO:0016020
UMM-S2840-89.73-mRNA-1	GO:0016020
UMM-S50-30.62-mRNA-1	GO:0003676
UMM-S50-30.8-mRNA-1	GO:0003676
UMA-S50-30.30-mRNA-1	GO:0030170
UMM-S50-30.55-mRNA-1	GO:0055085
UMM-S2868-3.19-mRNA-1	GO:0055085
UMM-S50-30.44-mRNA-1	GO:0016020
UMM-S50-29.21-mRNA-1	GO:0016020
UMM-S50-29.8-mRNA-1	GO:0042302
UMM-S50-29.19-mRNA-1	GO:0005856
UMM-S50-29.17-mRNA-1	GO:0016020
UMS-S50-29.70-mRNA-1	GO:0016021
UMM-S50-29.4-mRNA-1	GO:0007179
UMM-S50-29.35-mRNA-1	GO:0071805
UMM-S212-0.18-mRNA-1	GO:0016020
UMM-S50-28.33-mRNA-1	GO:0016020
UMM-S50-28.15-mRNA-1	GO:0016021
UMM-S50-28.30-mRNA-1	GO:0006355
UMM-S50-28.26-mRNA-1	GO:0003677
UMM-S50-28.29-mRNA-1	GO:0020037
UMM-S50-28.28-mRNA-1	GO:0003735
UMS-S50-27.10-mRNA-1	GO:0016020
UMM-S2840-39.30-mRNA-1	GO:0016020
UMM-S2838-28.34-mRNA-1	GO:0016020
UMM-S50-27.47-mRNA-1	GO:0000062
UMM-S50-27.29-mRNA-1	GO:0003700
UMM-S50-27.40-mRNA-1	GO:0042302
UMM-S50-27.28-mRNA-1	GO:0042302
UMM-S50-27.26-mRNA-1	GO:0005634
UMM-S50-26.28-mRNA-2	GO:0042147
UMM-S50-26.26-mRNA-1	GO:0061575
UMM-S50-26.21-mRNA-1	GO:0003677
UMM-S50-26.15-mRNA-1	GO:0005737
UMM-S50-25.67-mRNA-1	GO:0003677
UMM-S50-25.66-mRNA-1	GO:0003677
UMM-S50-25.40-mRNA-1	GO:0004478
UMM-S50-25.49-mRNA-1	GO:0046983
UMM-S50-25.56-mRNA-1	GO:0005509
UMM-S50-25.54-mRNA-1	GO:0055085
UMM-S250-8.16-mRNA-1	GO:0016021
UMM-S50-25.46-mRNA-1	GO:0005509
UMM-S50-25.61-mRNA-1	GO:0007156
UMM-S2864-27.27-mRNA-1	GO:0016021
UMM-S50-24.13-mRNA-1	GO:0016021
UMM-S50-23.23-mRNA-1	GO:0006887
UMM-S50-23.25-mRNA-1	GO:0006298
UMM-S50-23.27-mRNA-1	GO:0006298
UMM-S50-23.10-mRNA-1	GO:0006298
UMM-S112-32.20-mRNA-1	GO:0016020
UMM-S230-8.11-mRNA-1	GO:0016020
UMM-S50-23.20-mRNA-1	GO:0016020
UMM-S50-23.19-mRNA-1	GO:0003676
UMM-S2859-4.79-mRNA-1	GO:0003676
UMM-S398-3.5-mRNA-1	GO:0046872
UMS-S2838-14.54-mRNA-1	GO:0046872
UMS-S2840-103.28-mRNA-1	GO:0046872
UMM-S2861-7.18-mRNA-1	GO:0046872
UMS-S2840-56.32-mRNA-1	GO:0046872
UMM-S2840-51.56-mRNA-1	GO:0046872
UMM-S50-22.46-mRNA-1	GO:0016021
UMS-S50-22.69-mRNA-1	GO:0003723
UMM-S50-22.11-mRNA-1	GO:0016787
UMA-S50-22.24-mRNA-1	GO:0006366
UMM-S50-22.33-mRNA-1	GO:0016021
UMM-S50-22.6-mRNA-1	GO:0016021
UMS-S50-22.57-mRNA-1	GO:0008239
UMM-S50-22.0-mRNA-1	GO:0005509
UMM-S50-21.4-mRNA-1	GO:0006488
UMM-S50-21.0-mRNA-1	GO:0071568
UMM-S50-21.21-mRNA-1	GO:0018024
UMM-S50-20.48-mRNA-1	GO:0016021
UMM-S50-20.55-mRNA-1	GO:0016021
UMM-S50-20.44-mRNA-2	GO:0055085
UMM-S50-20.59-mRNA-1	GO:0003723
UMA-S50-20.23-mRNA-1	GO:0005938
UMM-S50-20.50-mRNA-1	GO:0035335
UMA-S50-20.19-mRNA-1	GO:0007165
UMM-S50-19.5-mRNA-1	GO:0016491
UMM-S50-19.2-mRNA-1	GO:0048678
UMM-S2840-52.79-mRNA-1	GO:0016020
UMM-S2840-86.51-mRNA-1	GO:0016020
UMM-S50-18.46-mRNA-1	GO:0016020
UMM-S50-18.60-mRNA-1	GO:0042803
UMM-S50-18.59-mRNA-1	GO:0016787
UMM-S50-18.23-mRNA-1	GO:0016020
UMM-S50-18.37-mRNA-1	GO:1990918
UMM-S50-18.56-mRNA-1	GO:0022625
UMM-S2868-13.8-mRNA-1	GO:0016020
UMS-S2868-13.49-mRNA-1	GO:0005794
UMM-S2868-13.14-mRNA-1	GO:0005856
UMM-S2868-13.15-mRNA-1	GO:0016491
UMM-S2854-2.31-mRNA-1	GO:0007606
UMM-S50-33.39-mRNA-1	GO:0007606
UMM-S273-8.37-mRNA-1	GO:0007606
UMM-S2868-14.47-mRNA-1	GO:0007606
UMM-S233-9.11-mRNA-1	GO:0007606
UMM-S212-3.24-mRNA-1	GO:0000166
UMM-S13-2.45-mRNA-1	GO:0000166
UMS-S2868-14.14-mRNA-1	GO:0000166
UMM-S2868-14.59-mRNA-1	GO:0005634
UMS-S2868-15.14-mRNA-1	GO:0004672
UMM-S2838-42.56-mRNA-1	GO:0016021
UMM-S2868-15.51-mRNA-1	GO:0016021
UMM-S2868-15.58-mRNA-1	GO:0004768
UMA-S2868-15.5-mRNA-1	GO:0005615
UMM-S2868-15.37-mRNA-1	GO:0016021
UMA-S2868-15.7-mRNA-1	GO:0007076
UMS-S2868-16.33-mRNA-1	GO:0005783
UMM-S2868-16.23-mRNA-1	GO:0016020
UMS-S2852-1.28-mRNA-1	GO:0000166
UMM-S2845-15.36-mRNA-1	GO:0000166
UMM-S2868-16.17-mRNA-1	GO:0000166
UMM-S2838-42.32-mRNA-1	GO:0000166
UMM-S2868-16.28-mRNA-1	GO:0004222
UMM-S2868-16.4-mRNA-1	GO:0008654
UMM-S2868-17.14-mRNA-1	GO:0050877
UMA-S2868-17.54-mRNA-1	GO:0000387
UMM-S57-45.13-mRNA-1	GO:0000387
UMA-S139-2.33-mRNA-1	GO:0000387
UMM-S2868-17.16-mRNA-1	GO:0016787
UMM-S2868-19.43-mRNA-1	GO:0016787
UMM-S2868-17.26-mRNA-1	GO:0018107
UMM-S7-34.28-mRNA-1	GO:0004672
UMA-S2868-17.53-mRNA-1	GO:0006465
UMM-S2868-17.27-mRNA-1	GO:0004497
UMM-S2868-18.25-mRNA-1	GO:0003677
UMM-S2868-18.10-mRNA-1	GO:0005634
UMS-S627-0.7-mRNA-1	GO:0031053
UMA-S2868-18.39-mRNA-1	GO:0016020
UMM-S2868-19.12-mRNA-1	GO:0005524
UMM-S2868-19.25-mRNA-1	GO:0099132
UMS-S2868-19.64-mRNA-1	GO:0007154
UMM-S2868-19.13-mRNA-1	GO:0007154
UMS-S2838-34.99-mRNA-1	GO:0016021
UMM-S7-4.1-mRNA-1	GO:0016021
UMM-S2868-19.29-mRNA-1	GO:0016021
UMM-S2868-19.34-mRNA-1	GO:0016021
UMM-S2868-20.26-mRNA-1	GO:0006564
UMM-S2868-20.38-mRNA-1	GO:0005887
UMM-S2868-20.48-mRNA-1	GO:0005887
UMM-S41-57.57-mRNA-1	GO:0005887
UMM-S2868-20.50-mRNA-2	GO:0030154
UMM-S2854-12.59-mRNA-1	GO:0030154
UMM-S2868-20.51-mRNA-1	GO:0016021
UMM-S2868-20.53-mRNA-1	GO:0016020
UMM-S2868-21.24-mRNA-1	GO:0016020
UMM-S2868-21.43-mRNA-1	GO:0004252
UMM-S2868-21.28-mRNA-1	GO:0055114
UMM-S2868-21.29-mRNA-1	GO:0005506
UMM-S2868-21.31-mRNA-1	GO:0016887
UMS-S2868-21.55-mRNA-1	GO:0016887
UMM-S2868-22.84-mRNA-1	GO:0016887
UMS-S2868-22.22-mRNA-1	GO:0003676
UMM-S2868-22.81-mRNA-1	GO:0006508
UMM-S2874-8.65-mRNA-1	GO:0043547
UMM-S2868-22.95-mRNA-1	GO:0016021
UMM-S2868-22.94-mRNA-1	GO:0016021
UMM-S2868-23.50-mRNA-1	GO:0005634
UMM-S2868-23.58-mRNA-1	GO:0016021
UMM-S2868-23.61-mRNA-1	GO:0003677
UMM-S2868-23.52-mRNA-1	GO:0003677
UMM-S2840-24.32-mRNA-1	GO:0016020
UMM-S2868-23.54-mRNA-1	GO:0016020
UMM-S13-18.3-mRNA-1	GO:0004714
UMM-S2868-23.40-mRNA-1	GO:0004714
UMM-S2868-23.33-mRNA-1	GO:0006468
UMM-S2868-23.44-mRNA-1	GO:0005634
UMM-S2868-23.57-mRNA-1	GO:0030674
UMM-S2868-23.45-mRNA-1	GO:0016020
UMM-S2868-23.72-mRNA-1	GO:0018108
UMM-S2868-24.9-mRNA-1	GO:0018108
UMM-S2868-24.23-mRNA-1	GO:0016787
UMM-S2868-24.6-mRNA-1	GO:0005484
